name,addr,addr_more,comment_num,score,phone_number,decoration_time,open_time,lowest_price
淘源儿小居青年旅舍,朝阳区,朝阳区弘善东路弘善家园116号楼（近地铁10号、14号线E出口）,394,5,18911547973/18911935070,2018,2018,68
Wohkoon者行孙青年旅舍(故宫店),东城区,东城区沙滩后街16号（近故宫，景山公园）,2605,5,010-64021886/15510717118,2017,2010,69
北京绿萝居酒店式公寓,朝阳区,朝阳区阜安东路望京悠乐汇C座1922房间,840,5,15201663887,2017,2017,422
北京影宿3D电影主题酒店(鸟巢对外经贸店),朝阳区,朝阳区惠新东街19号（对外经贸大学公交站南200米）,777,5,010-64810998/64810698,2017,2017,387
Bright star青年旅舍,朝阳区,朝阳区金禅西路与厚俸街交叉口东50米,355,5,15810342900/15637299393,2017,2018,60
国展国际英特公寓,朝阳区,朝阳区北三环东路西坝河西里28号,217,5,13552485136,2017,2017,104
Wohkoon者行孙青年旅舍(雍和宫店),东城区,东城区北新桥头条22号（距离北新桥地铁站300米）,4137,5,010-84023518/13220129068,2016,2016,89
八达岭邵家大院,延庆区,延庆区八达岭岔道度假区，八达岭镇岔道村88号,908,5,13241986688/13260063184,2016,2017,103
新鲜酒店,东城区,东城区朝阳门内南小街6号楼,866,5,010-65283527/13691510820,2016,2016,282
老艾农家院,延庆区,延庆区八达岭镇岔道村岔道古城131号,626,5,13811615787,2016,2016,133
阳光学生绿色公寓,朝阳区,朝阳区八棵杨南街华腾园小区,488,5,18801025859,2016,2016,125
鸟巢景观房青年旅舍,朝阳区,朝阳区北辰东路慧忠里小区310楼（近小区西门，距鸟巢东门100米）,454,5,18513927864/15011052520,2015,2015,95
顺鑫学生求职公寓,朝阳区,朝阳区八棵杨中街华腾园11号楼,448,5,13167549787/17035178917,2014,2014,35
北京顺展丰航商务酒店,朝阳区,朝阳区货运路3号,1356,4.9,15201401145,2018,2018,374
新起点青年旅社,西城区,西城区广莲路1号建工大厦,771,4.9,18210150621/18600863994,2018,2016,84
梦游世界主题酒店,海淀区,海淀区玲珑路21号八里庄北里小区楼底商（临近慈寿寺地铁站）,726,4.9,010-66165333,2018,2016,519
